it,SNR,mod,acc,f1
1,6,BPSK,0.7297619047619047,0.8414839797639123
1,6,QAM16,0.7297619047619047,0.7806451612903225
1,6,QPSK,0.7297619047619047,0.584083044982699
1,6,8PSK,0.7297619047619047,0.40595111583421895
1,6,GFSK,0.7297619047619047,0.7397260273972603
1,6,CPFSK,0.7297619047619047,0.7919942816297354
1,6,PAM4,0.7297619047619047,0.9203084832904885
1,8,BPSK,0.7395238095238095,0.8853288364249579
1,8,QAM16,0.7395238095238095,0.7999999999999999
1,8,QPSK,0.7395238095238095,0.5940199335548173
1,8,8PSK,0.7395238095238095,0.3654708520179373
1,8,GFSK,0.7395238095238095,0.746641074856046
1,8,CPFSK,0.7395238095238095,0.7982583454281568
1,8,PAM4,0.7395238095238095,0.9249146757679182
1,10,BPSK,0.7435714285714285,0.8632115548003398
1,10,QAM16,0.7435714285714285,0.8171334431630973
1,10,QPSK,0.7435714285714285,0.6074168797953965
1,10,8PSK,0.7435714285714285,0.3493552168815944
1,10,GFSK,0.7435714285714285,0.7605363984674329
1,10,CPFSK,0.7435714285714285,0.8084486525855791
1,10,PAM4,0.7435714285714285,0.9242553191489363
1,12,BPSK,0.7361904761904762,0.8602878916172735
1,12,QAM16,0.7361904761904762,0.815550041356493
1,12,QPSK,0.7361904761904762,0.5780645161290323
1,12,8PSK,0.7361904761904762,0.34602076124567477
1,12,GFSK,0.7361904761904762,0.7471264367816092
1,12,CPFSK,0.7361904761904762,0.8037928519328957
1,12,PAM4,0.7361904761904762,0.937181663837012
1,14,BPSK,0.7330952380952381,0.8710503842869344
1,14,QAM16,0.7330952380952381,0.8079800498753117
1,14,QPSK,0.7330952380952381,0.5976145637162587
1,14,8PSK,0.7330952380952381,0.34360189573459715
1,14,GFSK,0.7330952380952381,0.7272727272727274
1,14,CPFSK,0.7330952380952381,0.7871428571428573
1,14,PAM4,0.7330952380952381,0.9245283018867925
1,16,BPSK,0.7352380952380952,0.888888888888889
1,16,QAM16,0.7352380952380952,0.8192567567567568
